t (s),V (mV)
0,13.3111
1.004,13.2648
2.003,13.2266
3.003,13.1902
4.003,13.1567
5.009,13.1154
6.003,13.0554
7.003,13.0148
8.003,12.9683
9.003,12.9261
10.004,12.8881
11.003,12.8446
12.004,12.8061
13.004,12.753
14.004,12.7155
15.003,12.6718
16.004,12.6349
17.008,12.6026
18.004,12.5581
19.004,12.5086
20.003,12.4685
21.003,12.4167
22.004,12.3958
23.009,12.3527
24.003,12.3074
25.003,12.2773
26.004,12.2218
27.003,12.1779
28.004,12.1273
29.004,12.0903
30.003,12.0585
31.004,12.0229
32.003,11.9747
33.004,11.9436
34.003,11.9067
35.003,11.8706
36.004,11.8527
37.003,11.8084
38.004,11.7679
39.003,11.717
40.004,11.686
41.003,11.6621
42.004,11.6112
43.003,11.5899
44.003,11.5504
45.004,11.5051
46.003,11.4732
47.003,11.4214
48.003,11.3978
49.004,11.3404
50.003,11.3135
51.003,11.2896
52.003,11.2535
53.003,11.2121
54.003,11.1682
55.003,11.1347
56.003,11.0876
57.003,11.0719
58.003,11.0163
59.009,11.0095
60.003,10.9702
61.004,10.9501
62.003,10.9204
63.003,10.8675
64.004,10.8306
65.003,10.789
66.003,10.7559
67.003,10.7294
68.004,10.6981
69.003,10.6575
70.003,10.6202
71.008,10.5891
72.002,10.5738
73.002,10.5435
74.003,10.5129
75.002,10.4672
76.002,10.4353
77.002,10.3952
78.002,10.3828
79.002,10.3502
80.003,10.3066
81.002,10.2703
82.002,10.2378
83.002,10.2112
84.002,10.1733
85.002,10.1439
86.002,10.1066
87.002,10.078
88.002,10.0565
89.003,10.0138
90.003,9.991
91.004,9.9453
92.003,9.9282
93.003,9.8961
94.004,9.8669
95.009,9.8318
96.003,9.8109
97.003,9.7747
98.003,9.7573
99.003,9.7173
100.003,9.6897
101.009,9.6693
102.003,9.6501
103.003,9.6089
104.003,9.5715
105.003,9.5527
106.003,9.4976
107.003,9.4665
108.003,9.4385
109.003,9.4236
110.003,9.3875
111.004,9.3534
112.003,9.3353
113.004,9.3056
114.003,9.2738
115.004,9.2521
116.003,9.2336
117.003,9.2042
118.004,9.1676
119.008,9.1515
120.004,9.1269
121.003,9.0949
122.004,9.0517
123.003,9.0322
124.004,9.0024
125.004,8.9641
126.003,8.9417
127.003,8.9125
128.003,8.8886
129.004,8.8428
130.003,8.8241
131.003,8.8198
132.003,8.7755
133.004,8.7493
134.004,8.7334
135.003,8.6981
136.003,8.6816
137.003,8.6303
138.004,8.6201
139.003,8.5858
140.003,8.5657
141.004,8.5314
142.003,8.5167
143.003,8.495
144.003,8.4653
145.003,8.4356
146.004,8.4063
147.003,8.3863
148.003,8.3674
149.012,8.3493
150.003,8.3223
151.003,8.2941
152.004,8.2622
153.003,8.263
154.003,8.2313
155.008,8.1943
156.003,8.18
157.003,8.1511
158.003,8.1184
159.003,8.0996
160.003,8.0856
161.003,8.0733
162.003,8.0265
163.004,8.0038
164.003,7.9818
165.004,7.9484
166.003,7.912
167.003,7.9083
168.004,7.8925
169.003,7.8564
170.003,7.8366
171.004,7.8131
172.003,7.797
173.003,7.7636
174.004,7.7376
175.003,7.7251
176.003,7.6968
177.003,7.6713
178.003,7.6429
179.004,7.6283
180.004,7.6032
181.003,7.5807
182.003,7.5655
183.003,7.5482
184.003,7.5239
185.003,7.4723
186.003,7.4683
187.003,7.4402
188.003,7.4167
189.003,7.4046
190.004,7.3767
191.003,7.3517
192.003,7.3265
193.003,7.3115
194.003,7.2893
195.003,7.2821
196.003,7.2459
197.004,7.2136
198.003,7.2094
199.003,7.1991
200.004,7.1728
201.003,7.1472
202.004,7.1269
203.008,7.094
204.004,7.0754
205.003,7.0611
206.003,7.0408
207.003,7.0198
208.004,7.0097
209.003,6.9897
210.003,6.9616
211.003,6.9471
212.003,6.9052
213.003,6.8949
214.004,6.8757
215.008,6.8471
216.003,6.8185
217.004,6.8084
218.003,6.7809
219.003,6.7779
220.003,6.7559
221.003,6.719
222.003,6.7118
223.003,6.6937
224.004,6.6778
225.003,6.6355
226.003,6.6208
227.008,6.5904
228.003,6.5873
229.004,6.5626
230.003,6.5443
231.003,6.525
232.003,6.5205
233.007,6.4895
