t (s),V (mV)
0,13.047
0.97,13.0334
1.902,13.0218
2.884,12.9998
3.883,12.9836
4.883,12.9606
5.883,12.9493
6.883,12.9291
7.883,12.9115
8.883,12.8947
9.884,12.8702
10.884,12.8592
11.883,12.8348
12.883,12.8169
13.883,12.7988
14.883,12.7742
15.884,12.7618
16.884,12.7371
17.883,12.7169
18.883,12.6978
19.883,12.6769
20.883,12.6565
21.883,12.6392
22.883,12.6178
23.884,12.5895
24.884,12.575
25.883,12.5603
26.883,12.5379
27.884,12.518
28.884,12.4966
29.883,12.4809
30.884,12.463
31.884,12.4473
32.883,12.4214
33.883,12.3941
34.884,12.3873
35.884,12.3612
36.884,12.3498
37.883,12.3223
38.883,12.3063
39.883,12.2881
40.883,12.2742
41.884,12.248
42.883,12.2345
43.883,12.2118
44.884,12.1949
45.883,12.1698
46.884,12.152
47.884,12.1365
48.883,12.1299
49.883,12.105
50.883,12.0847
51.883,12.068
52.884,12.0543
53.883,12.0355
54.884,12.0165
55.884,12.0002
56.883,11.9858
57.883,11.9666
58.883,11.9523
59.883,11.9359
60.883,11.9182
61.883,11.8937
62.883,11.8755
63.883,11.8612
64.884,11.8523
65.883,11.8287
66.883,11.8162
67.883,11.7919
68.883,11.7764
69.884,11.7669
70.883,11.7517
71.884,11.7315
72.884,11.7169
73.883,11.7007
74.883,11.6827
75.884,11.6652
76.883,11.6456
77.883,11.635
78.884,11.6229
79.883,11.6043
80.883,11.5888
81.883,11.5765
82.883,11.5585
83.883,11.5462
84.883,11.5343
85.884,11.5183
86.883,11.5015
87.883,11.4884
88.883,11.4721
89.884,11.4574
90.884,11.4478
91.883,11.4277
92.883,11.4086
93.883,11.3989
94.884,11.3803
95.883,11.3715
96.883,11.3523
97.883,11.3333
98.883,11.3118
99.883,11.2999
100.884,11.2853
101.884,11.2724
102.883,11.259
103.883,11.2436
104.883,11.2318
105.884,11.2112
106.884,11.203
107.883,11.1821
108.883,11.1724
109.883,11.1646
110.883,11.1476
111.884,11.1359
112.883,11.1176
113.883,11.1062
114.883,11.0897
115.884,11.0769
116.884,11.0581
117.883,11.0446
118.883,11.0308
119.884,11.0166
120.883,11.0149
121.883,10.9932
122.884,10.979
123.883,10.9704
124.883,10.955
125.884,10.9429
126.883,10.9309
127.884,10.9164
128.883,10.901
129.883,10.8868
130.883,10.8636
131.883,10.8527
132.883,10.8425
133.883,10.8255
134.883,10.8116
135.884,10.7978
136.883,10.787
137.883,10.7628
138.884,10.7531
139.884,10.7395
140.883,10.7254
141.883,10.7166
142.883,10.6988
143.883,10.6901
144.884,10.6785
145.883,10.6671
146.883,10.6547
147.883,10.637
148.883,10.6322
149.883,10.6149
150.883,10.603
151.882,10.5955
152.882,10.5808
153.882,10.5654
154.882,10.5531
155.882,10.5428
156.882,10.5328
157.882,10.5187
158.882,10.5088
159.882,10.4953
160.882,10.4723
161.882,10.4598
162.882,10.4449
163.882,10.4396
164.882,10.4283
165.882,10.4132
166.882,10.4056
167.882,10.392
168.882,10.3832
169.883,10.3789
170.883,10.3606
171.882,10.351
172.882,10.3354
173.882,10.3295
174.883,10.3142
175.882,10.3017
176.882,10.295
177.882,10.2786
178.883,10.2677
179.882,10.2476
180.882,10.2417
181.882,10.2344
182.883,10.2234
183.882,10.2115
184.882,10.1951
185.882,10.1824
186.883,10.1665
187.882,10.1631
188.882,10.1566
189.882,10.1301
190.882,10.1234
191.882,10.115
192.882,10.0987
193.882,10.0866
194.882,10.0737
195.883,10.0616
196.882,10.0451
197.882,10.0411
198.882,10.028
199.882,10.0208
200.882,10.008
201.884,9.9965
202.883,9.9833
203.883,9.9664
204.883,9.969
205.883,9.943
206.884,9.9392
207.884,9.9254
208.883,9.9117
209.883,9.9048
210.883,9.8932
211.883,9.8882
212.883,9.8746
213.883,9.8598
214.884,9.8515
215.883,9.8429
216.883,9.8297
217.883,9.8176
218.883,9.8017
219.883,9.7932
220.883,9.7824
221.884,9.7727
222.883,9.7573
223.883,9.7496
224.883,9.7363
225.884,9.7218
226.883,9.7086
227.883,9.6972
228.883,9.6885
229.884,9.6842
230.883,9.665
231.883,9.658
232.884,9.6493
233.883,9.6385
234.883,9.6263
235.884,9.6165
236.883,9.6011
237.883,9.589
238.884,9.5911
239.883,9.581
240.883,9.5641
241.883,9.5575
242.883,9.5444
243.884,9.5289
244.884,9.5211
245.883,9.5096
246.883,9.5016
247.883,9.4958
248.884,9.4833
249.883,9.4622
250.883,9.4532
251.883,9.4433
252.883,9.4323
253.884,9.4204
254.884,9.4173
255.884,9.4025
256.883,9.3961
257.883,9.3843
258.883,9.3732
259.883,9.3589
260.883,9.3526
261.884,9.3414
262.883,9.331
263.883,9.3178
264.883,9.3086
265.883,9.3048
266.884,9.2903
267.883,9.2871
268.883,9.2705
269.883,9.2587
270.883,9.2503
271.884,9.2417
272.883,9.2309
273.883,9.2276
274.884,9.2161
275.883,9.2096
276.883,9.1932
277.884,9.186
278.883,9.176
279.884,9.1652
280.883,9.1592
281.883,9.1398
282.883,9.1327
283.883,9.1224
284.884,9.1162
285.883,9.1018
286.883,9.0887
287.884,9.0757
288.883,9.0688
289.883,9.0663
290.884,9.0523
291.883,9.0372
292.884,9.0357
293.884,9.0145
294.883,8.9989
295.883,8.9904
296.883,8.9763
297.883,8.9651
298.883,8.9521
299.883,8.943
300.883,8.934
301.883,8.9161
302.883,8.9197
303.884,8.9116
304.883,8.8988
305.883,8.892
306.883,8.8801
307.883,8.8682
308.884,8.8562
309.883,8.8466
310.883,8.844
311.884,8.8355
312.883,8.8271
313.883,8.8209
314.883,8.8138
315.884,8.7997
316.883,8.789
317.883,8.7747
318.884,8.7615
319.883,8.7486
320.883,8.7425
321.883,8.7288
322.883,8.7183
323.884,8.7079
324.883,8.7042
325.883,8.6939
326.883,8.6842
327.883,8.6703
328.884,8.6623
329.883,8.6556
330.884,8.6468
331.883,8.6395
332.883,8.6261
333.884,8.6219
334.883,8.6106
335.884,8.5989
336.883,8.5932
337.883,8.5825
338.883,8.5731
339.883,8.5648
340.883,8.553
341.883,8.5442
342.884,8.5364
343.883,8.5286
344.883,8.5186
345.883,8.5097
346.883,8.5021
347.883,8.4995
348.883,8.4907
349.883,8.4799
350.883,8.4739
351.883,8.4581
352.884,8.4458
353.884,8.4445
354.883,8.4353
355.883,8.4229
356.884,8.4148
357.883,8.4045
358.883,8.3903
359.884,8.3829
360.883,8.3786
361.883,8.3692
362.883,8.3611
363.884,8.3469
364.883,8.3335
365.883,8.3283
366.883,8.3255
367.884,8.3167
368.883,8.3096
369.884,8.2985
370.883,8.289
371.884,8.2773
372.883,8.2657
373.883,8.2584
374.884,8.2602
375.883,8.245
376.883,8.2355
377.883,8.2198
378.883,8.2179
379.884,8.2112
380.883,8.1975
381.884,8.1892
382.883,8.1742
383.884,8.1666
384.883,8.1615
385.884,8.1523
386.883,8.1418
387.883,8.1281
388.883,8.1207
389.884,8.1102
390.883,8.1043
391.884,8.0931
392.883,8.0831
393.884,8.0755
394.884,8.0667
395.883,8.0579
396.883,8.0459
397.883,8.0425
398.883,8.0329
399.883,8.0212
400.884,8.0212
401.884,8.0117
402.883,7.9991
403.883,7.9966
404.884,7.9845
405.883,7.976
406.883,7.968
407.884,7.956
408.883,7.9477
409.883,7.946
410.884,7.9351
411.883,7.9235
412.883,7.9163
413.884,7.9084
414.883,7.8972
415.884,7.8899
416.883,7.8841
417.883,7.8697
418.884,7.8705
419.883,7.8649
420.884,7.8521
421.883,7.8409
422.883,7.8331
423.884,7.8402
